lecture,lecture_index,model_a,model_b,avg_concept_jaccard,avg_triple_f1,n_slides
Lecture 12,12,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.014139194139194138,0.02,50
Lecture 12,12,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.012,0.0,50
Lecture 13,13,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.0,0.0,50
Lecture 13,13,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.0,0.0,50
Lecture 13,13,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.09177777777777779,0.0,50
Lecture 13,13,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.0,0.0,50
Lecture 13,13,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.19131746031746033,0.0,50
Lecture 13,13,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.08252380952380953,0.0,50
Lecture 14,14,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.13053751803751804,0.027777777777777776,60
Lecture 14,14,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.07259920634920634,0.03166666666666666,60
Lecture 14,14,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.0605489417989418,0.0,60
Lecture 14,14,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.16514550264550268,0.03055555555555555,60
Lecture 14,14,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.1363888888888889,0.0,60
Lecture 14,14,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.06440476190476191,0.01111111111111111,60
Lecture 15,15,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.1716269841269841,0.04444444444444444,30
Lecture 15,15,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.08306878306878307,0.08222222222222222,30
Lecture 15,15,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.06571428571428571,0.03888888888888888,30
Lecture 15,15,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.18005772005772006,0.04444444444444444,30
Lecture 15,15,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.1375180375180375,0.0,30
Lecture 15,15,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.07416666666666667,0.0,30
Lecture 16,16,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.06985569985569985,0.0,55
Lecture 16,16,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.06583038173947264,0.012121212121212123,55
Lecture 16,16,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.021255411255411256,0.0,55
Lecture 16,16,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.06591105863833137,0.01818181818181818,55
Lecture 16,16,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.05535353535353535,0.0,55
Lecture 16,16,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.02727272727272727,0.0,55
Lecture 17,17,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.11551569642478732,0.0,55
Lecture 17,17,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.04722222222222222,0.037575757575757575,55
Lecture 17,17,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.05519480519480519,0.0,55
Lecture 17,17,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.17117604617604618,0.0,55
Lecture 17,17,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.11883838383838384,0.0,55
Lecture 17,17,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.03747474747474747,0.0,55
Lecture 18,18,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.12297646797646798,0.0,55
Lecture 18,18,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.031168831168831172,0.048484848484848485,55
Lecture 18,18,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.02681818181818182,0.0,55
Lecture 18,18,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.0967457794730522,0.012121212121212121,55
Lecture 18,18,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.07574380165289255,0.01818181818181818,55
Lecture 18,18,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.022222222222222223,0.0,55
Lecture 19,19,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.0,0.0,55
Lecture 19,19,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.0,0.0,55
Lecture 19,19,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.012337662337662338,0.0,55
Lecture 19,19,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.0,0.0,55
Lecture 19,19,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.07238619965892694,0.01818181818181818,55
Lecture 19,19,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.023484848484848483,0.0,55
Lecture 20,20,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.014704739704739705,0.0,55
Lecture 20,20,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.022727272727272728,0.1303030303030303,55
Lecture 20,20,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.0036363636363636364,0.0,55
Lecture 20,20,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.04064016791289518,0.0,55
Lecture 20,20,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.011538461538461537,0.01818181818181818,55
Lecture 20,20,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.025454545454545452,0.0,55
Lecture 21,21,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.015503875968992248,0.024806201550387597,43
Lecture 21,21,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.0,0.06976744186046512,43
Lecture 21,21,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.0,0.0,43
Lecture 21,21,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.03484848484848485,0.0,43
Lecture 21,21,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.0,0.0,43
Lecture 21,21,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.0,0.023255813953488372,43
Lecture 22,22,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.0392063492063492,0.014814814814814814,45
Lecture 22,22,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.0105982905982906,0.037037037037037035,45
Lecture 22,22,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.0,0.0,45
Lecture 22,22,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.0491005291005291,0.014814814814814814,45
Lecture 22,22,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.01443001443001443,0.022222222222222223,45
Lecture 22,22,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.004487179487179487,0.0,45
Lecture 23,23,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.027015873015873014,0.0,50
Lecture 23,23,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.004,0.05333333333333333,50
Lecture 23,23,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.0,0.0,50
Lecture 23,23,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.05069047619047619,0.0,50
Lecture 23,23,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.0225,0.0,50
Lecture 23,23,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.005,0.0,50
